region, enduse, fueltype, fuel
S12000023, rs_lighting, 0, 0.0
S12000023, rs_lighting, 1, 0.0
S12000023, rs_lighting, 2, 6464.345411312786
S12000023, rs_lighting, 3, 0.0
S12000023, rs_lighting, 4, 0.0
S12000023, rs_lighting, 5, 0.0
S12000023, rs_lighting, 6, 0.0
S12000023, rs_lighting, 7, 0.0
S12000023, rs_cold, 0, 0.0
S12000023, rs_cold, 1, 0.0
S12000023, rs_cold, 2, 5783.887999595652
S12000023, rs_cold, 3, 0.0
S12000023, rs_cold, 4, 0.0
S12000023, rs_cold, 5, 0.0
S12000023, rs_cold, 6, 0.0
S12000023, rs_cold, 7, 0.0
S12000023, rs_wet, 0, 0.0
S12000023, rs_wet, 1, 0.0
S12000023, rs_wet, 2, 7284.240817234253
S12000023, rs_wet, 3, 0.0
S12000023, rs_wet, 4, 0.0
S12000023, rs_wet, 5, 0.0
S12000023, rs_wet, 6, 0.0
S12000023, rs_wet, 7, 0.0
S12000023, rs_consumer_electronics, 0, 0.0
S12000023, rs_consumer_electronics, 1, 0.0
S12000023, rs_consumer_electronics, 2, 10245.903814134244
S12000023, rs_consumer_electronics, 3, 0.0
S12000023, rs_consumer_electronics, 4, 0.0
S12000023, rs_consumer_electronics, 5, 0.0
S12000023, rs_consumer_electronics, 6, 0.0
S12000023, rs_consumer_electronics, 7, 0.0
S12000023, rs_home_computing, 0, 0.0
S12000023, rs_home_computing, 1, 0.0
S12000023, rs_home_computing, 2, 3062.0583527271097
S12000023, rs_home_computing, 3, 0.0
S12000023, rs_home_computing, 4, 0.0
S12000023, rs_home_computing, 5, 0.0
S12000023, rs_home_computing, 6, 0.0
S12000023, rs_home_computing, 7, 0.0
S12000023, rs_cooking, 0, 0.0
S12000023, rs_cooking, 1, 0.0
S12000023, rs_cooking, 2, 2364.8683817054543
S12000023, rs_cooking, 3, 0.0
S12000023, rs_cooking, 4, 0.0
S12000023, rs_cooking, 5, 0.0
S12000023, rs_cooking, 6, 0.0
S12000023, rs_cooking, 7, 0.0
S12000023, rs_space_heating, 0, 2799.9149236229673
S12000023, rs_space_heating, 1, 117412.3686398149
S12000023, rs_space_heating, 2, 12158.993094617666
S12000023, rs_space_heating, 3, 12482.489241171716
S12000023, rs_space_heating, 4, 290.03102794500853
S12000023, rs_space_heating, 5, 8678.620759277565
S12000023, rs_space_heating, 6, 0.0
S12000023, rs_space_heating, 7, 0.0
S12000023, rs_water_heating, 0, 457.35662099020584
S12000023, rs_water_heating, 1, 20363.524673600507
S12000023, rs_water_heating, 2, 2359.2908619372815
S12000023, rs_water_heating, 3, 1215.8993094617667
S12000023, rs_water_heating, 4, 0.0
S12000023, rs_water_heating, 5, 2967.2405166681647
S12000023, rs_water_heating, 6, 0.0
S12000023, rs_water_heating, 7, 0.0
S12000027, rs_lighting, 0, 0.0
S12000027, rs_lighting, 1, 0.0
S12000027, rs_lighting, 2, 7014.824588687215
S12000027, rs_lighting, 3, 0.0
S12000027, rs_lighting, 4, 0.0
S12000027, rs_lighting, 5, 0.0
S12000027, rs_lighting, 6, 0.0
S12000027, rs_lighting, 7, 0.0
S12000027, rs_cold, 0, 0.0
S12000027, rs_cold, 1, 0.0
S12000027, rs_cold, 2, 6276.42200040435
S12000027, rs_cold, 3, 0.0
S12000027, rs_cold, 4, 0.0
S12000027, rs_cold, 5, 0.0
S12000027, rs_cold, 6, 0.0
S12000027, rs_cold, 7, 0.0
S12000027, rs_wet, 0, 0.0
S12000027, rs_wet, 1, 0.0
S12000027, rs_wet, 2, 7904.539182765748
S12000027, rs_wet, 3, 0.0
S12000027, rs_wet, 4, 0.0
S12000027, rs_wet, 5, 0.0
S12000027, rs_wet, 6, 0.0
S12000027, rs_wet, 7, 0.0
S12000027, rs_consumer_electronics, 0, 0.0
S12000027, rs_consumer_electronics, 1, 0.0
S12000027, rs_consumer_electronics, 2, 11118.406185865757
S12000027, rs_consumer_electronics, 3, 0.0
S12000027, rs_consumer_electronics, 4, 0.0
S12000027, rs_consumer_electronics, 5, 0.0
S12000027, rs_consumer_electronics, 6, 0.0
S12000027, rs_consumer_electronics, 7, 0.0
S12000027, rs_home_computing, 0, 0.0
S12000027, rs_home_computing, 1, 0.0
S12000027, rs_home_computing, 2, 3322.811647272891
S12000027, rs_home_computing, 3, 0.0
S12000027, rs_home_computing, 4, 0.0
S12000027, rs_home_computing, 5, 0.0
S12000027, rs_home_computing, 6, 0.0
S12000027, rs_home_computing, 7, 0.0
S12000027, rs_cooking, 0, 0.0
S12000027, rs_cooking, 1, 0.0
S12000027, rs_cooking, 2, 2566.251618294546
S12000027, rs_cooking, 3, 0.0
S12000027, rs_cooking, 4, 0.0
S12000027, rs_cooking, 5, 0.0
S12000027, rs_cooking, 6, 0.0
S12000027, rs_cooking, 7, 0.0
S12000027, rs_space_heating, 0, 3038.3450763770334
S12000027, rs_space_heating, 1, 127410.76136018512
S12000027, rs_space_heating, 2, 13194.406905382337
S12000027, rs_space_heating, 3, 13545.450758828289
S12000027, rs_space_heating, 4, 314.72897205499146
S12000027, rs_space_heating, 5, 9417.659240722438
S12000027, rs_space_heating, 6, 0.0
S12000027, rs_space_heating, 7, 0.0
S12000027, rs_water_heating, 0, 496.3033790097943
S12000027, rs_water_heating, 1, 22097.6053263995
S12000027, rs_water_heating, 2, 2560.1991380627196
S12000027, rs_water_heating, 3, 1319.4406905382336
S12000027, rs_water_heating, 4, 0.0
S12000027, rs_water_heating, 5, 3219.9194833318365
S12000027, rs_water_heating, 6, 0.0
S12000027, rs_water_heating, 7, 0.0
